"uriProposicao";"siglaTipo";"numero";"ano";"codTema";"tema";"relevancia"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345712";"PL";"47";"2023";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345713";"PL";"48";"2023";"42";"Direito Civil e Processual Civil";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345714";"PL";"49";"2023";"42";"Direito Civil e Processual Civil";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345716";"PL";"50";"2023";"72";"Homenagens e Datas Comemorativas";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345716";"PL";"50";"2023";"48";"Meio Ambiente e Desenvolvimento Sustentável";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345718";"PL";"51";"2023";"76";"Direito e Justiça";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347059";"PL";"261";"2023";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345720";"PL";"52";"2023";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345720";"PL";"52";"2023";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345626";"INC";"1";"2023";"37";"Comunicações";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345626";"INC";"1";"2023";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345629";"INC";"2";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345629";"INC";"2";"2023";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345629";"INC";"2";"2023";"55";"Relações Internacionais e Comércio Exterior";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347069";"PL";"269";"2023";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347069";"PL";"269";"2023";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345630";"INC";"3";"2023";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345630";"INC";"3";"2023";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345632";"INC";"4";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345632";"INC";"4";"2023";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345633";"INC";"5";"2023";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345633";"INC";"5";"2023";"48";"Meio Ambiente e Desenvolvimento Sustentável";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345638";"INC";"6";"2023";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345638";"INC";"6";"2023";"48";"Meio Ambiente e Desenvolvimento Sustentável";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346869";"INC";"7";"2023";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346869";"INC";"7";"2023";"66";"Indústria, Comércio e Serviços";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346869";"INC";"7";"2023";"58";"Trabalho e Emprego";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346894";"INC";"8";"2023";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346894";"INC";"8";"2023";"66";"Indústria, Comércio e Serviços";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346894";"INC";"8";"2023";"58";"Trabalho e Emprego";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346897";"INC";"9";"2023";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346897";"INC";"9";"2023";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346961";"INC";"10";"2023";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346961";"INC";"10";"2023";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346980";"INC";"11";"2023";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346980";"INC";"11";"2023";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346981";"INC";"12";"2023";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346981";"INC";"12";"2023";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346982";"INC";"13";"2023";"42";"Direito Civil e Processual Civil";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346982";"INC";"13";"2023";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346983";"INC";"14";"2023";"42";"Direito Civil e Processual Civil";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346983";"INC";"14";"2023";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346985";"INC";"15";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346985";"INC";"15";"2023";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346986";"INC";"16";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346986";"INC";"16";"2023";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346988";"INC";"17";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346988";"INC";"17";"2023";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346989";"INC";"18";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346989";"INC";"18";"2023";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346990";"INC";"19";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346990";"INC";"19";"2023";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346990";"INC";"19";"2023";"55";"Relações Internacionais e Comércio Exterior";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345746";"PL";"70";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345746";"PL";"70";"2023";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345746";"PL";"70";"2023";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346991";"INC";"20";"2023";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347050";"INC";"21";"2023";"41";"Cidades e Desenvolvimento Urbano";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347050";"INC";"21";"2023";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347050";"INC";"21";"2023";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345682";"RIC";"1";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345682";"RIC";"1";"2023";"64";"Agricultura, Pecuária, Pesca e Extrativismo";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345682";"RIC";"1";"2023";"51";"Estrutura Fundiária";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345687";"RIC";"2";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345687";"RIC";"2";"2023";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345687";"RIC";"2";"2023";"55";"Relações Internacionais e Comércio Exterior";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345696";"RIC";"3";"2023";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345699";"RIC";"4";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345699";"RIC";"4";"2023";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345699";"RIC";"4";"2023";"74";"Política, Partidos e Eleições";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345700";"RIC";"5";"2023";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345700";"RIC";"5";"2023";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345700";"RIC";"5";"2023";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345703";"RIC";"6";"2023";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345724";"RIC";"7";"2023";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345726";"RIC";"8";"2023";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345726";"RIC";"8";"2023";"74";"Política, Partidos e Eleições";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346809";"RIC";"9";"2023";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346809";"RIC";"9";"2023";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346818";"RIC";"10";"2023";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346818";"RIC";"10";"2023";"74";"Política, Partidos e Eleições";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346756";"PL";"91";"2023";"72";"Homenagens e Datas Comemorativas";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345706";"PL";"44";"2023";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346758";"PL";"92";"2023";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346813";"PL";"121";"2023";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346813";"PL";"121";"2023";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346815";"PL";"122";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346815";"PL";"122";"2023";"72";"Homenagens e Datas Comemorativas";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346815";"PL";"122";"2023";"74";"Política, Partidos e Eleições";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346816";"PL";"123";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346761";"PL";"94";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346762";"PL";"95";"2023";"42";"Direito Civil e Processual Civil";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346819";"PL";"125";"2023";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346819";"PL";"125";"2023";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346823";"PL";"128";"2023";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346823";"PL";"128";"2023";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346823";"PL";"128";"2023";"74";"Política, Partidos e Eleições";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346825";"PL";"129";"2023";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346826";"PL";"130";"2023";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346826";"PL";"130";"2023";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346826";"PL";"130";"2023";"58";"Trabalho e Emprego";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346763";"PL";"96";"2023";"42";"Direito Civil e Processual Civil";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346829";"PL";"131";"2023";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346829";"PL";"131";"2023";"58";"Trabalho e Emprego";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346829";"PL";"131";"2023";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346901";"PL";"173";"2023";"48";"Meio Ambiente e Desenvolvimento Sustentável";"0"
