"idVotacao";"uriVotacao";"dataHoraVoto";"voto";"deputado_id";"deputado_uri";"deputado_nome";"deputado_siglaPartido";"deputado_uriPartido";"deputado_siglaUf";"deputado_idLegislatura";"deputado_urlFoto"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:01:40";"Sim";"220669";"https://dadosabertos.camara.leg.br/api/v2/deputados/220669";"Lula da Fonte";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"PE";"57";"https://www.camara.leg.br/internet/deputado/bandep/220669.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:03:06";"Sim";"166402";"https://dadosabertos.camara.leg.br/api/v2/deputados/166402";"Magda Mofatto";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"GO";"57";"https://www.camara.leg.br/internet/deputado/bandep/166402.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:13:20";"Sim";"220648";"https://dadosabertos.camara.leg.br/api/v2/deputados/220648";"Marangoni";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/220648.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:00:08";"Sim";"156190";"https://dadosabertos.camara.leg.br/api/v2/deputados/156190";"Marcel van Hattem";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/156190.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:01:22";"Sim";"220599";"https://dadosabertos.camara.leg.br/api/v2/deputados/220599";"Marcelo Crivella";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/220599.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:16:51";"Sim";"220634";"https://dadosabertos.camara.leg.br/api/v2/deputados/220634";"Marcelo Lima";"S.PART.";"https://dadosabertos.camara.leg.br/api/v2/partidos/36852";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/220634.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:19:39";"Não";"133810";"https://dadosabertos.camara.leg.br/api/v2/deputados/133810";"Marcelo Moraes";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/133810.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:00:35";"Sim";"160161";"https://dadosabertos.camara.leg.br/api/v2/deputados/160161";"Marcelo Queiroz";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/160161.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:59:22";"Sim";"178983";"https://dadosabertos.camara.leg.br/api/v2/deputados/178983";"Marcio Alvino";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/178983.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:00:02";"Sim";"179001";"https://dadosabertos.camara.leg.br/api/v2/deputados/179001";"Márcio Biolchi";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/179001.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:59:36";"Sim";"81055";"https://dadosabertos.camara.leg.br/api/v2/deputados/81055";"Márcio Jerry";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"MA";"57";"https://www.camara.leg.br/internet/deputado/bandep/81055.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:59:25";"Sim";"150418";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"Márcio Marinho";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"BA";"57";"https://www.camara.leg.br/internet/deputado/bandep/150418.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:59:00";"Sim";"204522";"https://dadosabertos.camara.leg.br/api/v2/deputados/204522";"Marco Bertaiolli";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204522.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:59:31";"Sim";"219585";"https://dadosabertos.camara.leg.br/api/v2/deputados/219585";"Marco Brasil";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"PR";"57";"https://www.camara.leg.br/internet/deputado/bandep/219585.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:59:03";"Sim";"160535";"https://dadosabertos.camara.leg.br/api/v2/deputados/160535";"Marcon";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/160535.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:02:28";"Sim";"204431";"https://dadosabertos.camara.leg.br/api/v2/deputados/204431";"Marcos Aurélio Sampaio";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"PI";"57";"https://www.camara.leg.br/internet/deputado/bandep/204431.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:02:59";"Sim";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"Marcos Pereira";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204506.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:59:28";"Não";"220547";"https://dadosabertos.camara.leg.br/api/v2/deputados/220547";"Marcos Pollon";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"MS";"57";"https://www.camara.leg.br/internet/deputado/bandep/220547.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:15:42";"Não";"178943";"https://dadosabertos.camara.leg.br/api/v2/deputados/178943";"Marcos Soares";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/178943.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:00:20";"Sim";"220604";"https://dadosabertos.camara.leg.br/api/v2/deputados/220604";"Marcos Tavares";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/220604.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:05:24";"Sim";"220668";"https://dadosabertos.camara.leg.br/api/v2/deputados/220668";"Maria Arraes";"SOLIDARIEDADE";"https://dadosabertos.camara.leg.br/api/v2/partidos/37904";"PE";"57";"https://www.camara.leg.br/internet/deputado/bandep/220668.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:59:24";"Sim";"204540";"https://dadosabertos.camara.leg.br/api/v2/deputados/204540";"Maria Rosas";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204540.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:04:49";"Sim";"220655";"https://dadosabertos.camara.leg.br/api/v2/deputados/220655";"Mario Frias";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/220655.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:02:31";"Sim";"74158";"https://dadosabertos.camara.leg.br/api/v2/deputados/74158";"Mário Heringer";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"MG";"57";"https://www.camara.leg.br/internet/deputado/bandep/74158.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:59:20";"Sim";"178858";"https://dadosabertos.camara.leg.br/api/v2/deputados/178858";"Mário Negromonte Jr.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"BA";"57";"https://www.camara.leg.br/internet/deputado/bandep/178858.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:10:20";"Sim";"220572";"https://dadosabertos.camara.leg.br/api/v2/deputados/220572";"Marussa Boldrin";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"GO";"57";"https://www.camara.leg.br/internet/deputado/bandep/220572.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:08:58";"Sim";"220609";"https://dadosabertos.camara.leg.br/api/v2/deputados/220609";"Maurício Carvalho";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"RO";"57";"https://www.camara.leg.br/internet/deputado/bandep/220609.jpg"
